escenario,replica,HR_D,lo_D,hi_D,HR_B,HR_silencio
postura: venta degradada en alcista,19,0.6906887832349368,0.519631398799899,0.9180565231206546,0.6886116853257942,1.9566309561944506
postura: venta degradada en alcista,20,0.8362139317220116,0.6272614094506426,1.1147724522354943,0.7286371414103261,2.0712972020765985
postura: compra degradada en alcista,1,0.9628359629714157,0.7569421255896123,1.2247344417104213,0.7739827461884664,2.2283163172512803
postura: compra degradada en alcista,2,0.9830340263009801,0.7732197326624143,1.249781732209652,0.726394820724306,2.2454376646322722
postura: compra degradada en alcista,3,1.0381144567027325,0.8150539321899642,1.322221245310224,0.7743592981092454,2.317353850730026
postura: compra degradada en alcista,4,1.2781422036800594,0.9959678604582496,1.6402612550935824,0.7732192290402682,2.288308625373286
postura: compra degradada en alcista,5,1.1771950055766567,0.9123514694282125,1.5189191091270162,0.8296341696153847,2.37397622608233
postura: compra degradada en alcista,6,1.0516220704353254,0.8240631285853423,1.3420197320624927,0.7433953420121292,2.293894930551706
postura: compra degradada en alcista,7,1.0624274696868667,0.8331953293540603,1.3547269032584595,0.7340019782326164,2.19045713683832
postura: compra degradada en alcista,8,1.346065123393649,1.0336057228150441,1.7529811188371132,0.8251511704674902,2.4622873507439476
postura: compra degradada en alcista,9,0.9618105222361885,0.7582047385392054,1.220091927236637,0.7048574619285829,2.2461638843110103
postura: compra degradada en alcista,10,1.0995551927529106,0.8620512354636738,1.4024939263147052,0.7626187564876764,2.232007977489874
postura: compra degradada en alcista,11,0.8882129866051799,0.7035021924969398,1.1214212521129068,0.7441298162468429,2.0890186290353734
postura: compra degradada en alcista,12,1.0424850072052956,0.8145985559382175,1.3341233940638741,0.812648825970726,2.3390063820144587
postura: compra degradada en alcista,13,1.0781315481591613,0.8405730214869123,1.382827672817677,0.7859692207637023,2.194690081873278
postura: compra degradada en alcista,14,1.0549941625877872,0.8252197804882088,1.348746975546122,0.7812605594312392,2.249242493788149
postura: compra degradada en alcista,15,1.0322260450003173,0.8080795726925231,1.318546643156416,0.8169234878223899,2.289178809123251
postura: compra degradada en alcista,16,1.1265805325161502,0.8798475155831447,1.4425041541467374,0.7731899887619919,2.2314084639904666
postura: compra degradada en alcista,17,1.0841621697596047,0.8484007489041637,1.3854391475444454,0.7527824131216558,2.2382835011150553
postura: compra degradada en alcista,18,0.8446185393255978,0.6727436519530859,1.060404620543717,0.6669210224202395,2.1914261915820683
postura: compra degradada en alcista,19,1.0990830008545247,0.8577527094593618,1.4083120104963287,0.8102763794252551,2.2222395882150825
postura: compra degradada en alcista,20,1.050444901334803,0.825255717034203,1.3370819104480698,0.7207069794781042,2.291006230658575
postura: venta degradada en bajista,1,0.7884480454355071,0.5993682134131829,1.0371759903832738,0.6295865853240223,1.89133784850867
postura: venta degradada en bajista,2,0.9745751062455213,0.7288801900945315,1.303090206897084,0.6744161208169396,1.8944360145051453
postura: venta degradada en bajista,3,0.9157221911132157,0.6843035380989763,1.2254023026487746,0.6910033375794873,1.9716812468194382
postura: venta degradada en bajista,4,0.9890566160523165,0.7390636175452631,1.3236113462139796,0.6849778470432482,2.0080236295992067
postura: venta degradada en bajista,5,0.9089232023359072,0.6819687101902132,1.2114065871352586,0.6943257888110944,2.0548952428511282
postura: venta degradada en bajista,6,0.9930641940489962,0.7348669158863945,1.3419797138542546,0.7156052226371084,1.9758752369304442
postura: venta degradada en bajista,7,1.024836016520289,0.7624378183533352,1.3775403521109713,0.7415282147522687,2.0088497678682686
postura: venta degradada en bajista,8,0.8899355824496304,0.656392620589705,1.2065725848630673,0.7363568291037882,2.0730601746863884
postura: venta degradada en bajista,9,0.8420604186005733,0.6341912374210213,1.1180629859492122,0.6738631809462148,1.9465694008748422
postura: venta degradada en bajista,10,0.9479141590913689,0.7045938314191855,1.275261310755538,0.7364699515468693,1.9265284153128228
